sim_time_s,robot_obstacle_center_distance_m,estimated_clearance_m,encounter_id
16.48,3.479999990389469,3.174999990389469,
16.5,3.4999999903894663,3.194999990389466,
16.52,3.519999990389463,3.214999990389463,
16.54,3.5399999903894606,3.2349999903894604,
16.56,3.559999990389456,3.254999990389456,
16.58,3.5799999903894544,3.274999990389454,
16.6,3.599999990389455,3.2949999903894547,
16.62,3.6199999903894553,3.314999990389455,
16.64,3.639999990389455,3.3349999903894547,
16.66,3.6599999903894567,3.3549999903894565,
16.68,3.679999990389457,3.374999990389457,
16.7,3.699999990389509,3.394999990389509,
16.72,3.7199999903895073,3.414999990389507,
16.74,3.7399999903895043,3.434999990389504,
16.76,3.759999990389504,3.4549999903895037,
16.78,3.7799999903895,3.4749999903894997,
16.8,3.7999999903894945,3.4949999903894944,
16.82,3.8199999903894915,3.5149999903894913,
16.84,3.839999990389488,3.5349999903894878,
16.86,3.859999990389486,3.554999990389486,
16.88,3.8799999903894817,3.5749999903894816,
16.9,3.899999990389478,3.594999990389478,
16.92,3.919999990389476,3.614999990389476,
16.94,3.9399999903894747,3.6349999903894745,
16.96,3.959999990389472,3.654999990389472,
16.98,3.979999990389467,3.674999990389467,
17.0,3.9999999903894636,3.6949999903894635,
17.02,4.019999990389459,3.7149999903894586,
17.04,4.0399999903894575,3.7349999903894573,
17.06,4.059999990389452,3.7549999903894515,
17.08,4.079999990389453,3.774999990389453,
17.1,4.099999990389457,3.794999990389457,
17.12,4.119999990389457,3.8149999903894565,
17.14,4.139999990389455,3.834999990389455,
17.16,4.159999990389455,3.8549999903894547,
17.18,4.179999990389509,3.8749999903895085,
17.2,4.1999999903895056,3.8949999903895054,
17.22,4.219999990389503,3.914999990389503,
17.24,4.239999990389499,3.934999990389499,
17.26,4.259999990389497,3.954999990389497,
17.28,4.279999990389496,3.9749999903894957,
17.3,4.299999990389494,3.9949999903894935,
17.32,4.319999990389488,4.014999990389487,
17.34,4.339999990389485,4.034999990389484,
17.36,4.359999990389482,4.054999990389481,
17.38,4.379999990389477,4.074999990389476,
17.4,4.399999990389475,4.094999990389474,
17.42,4.419999990389473,4.114999990389473,
17.44,4.43999999038947,4.13499999038947,
17.46,4.459999990389468,4.154999990389467,
17.48,4.479999990389463,4.174999990389463,
17.5,4.49999999038946,4.1949999903894595,
17.52,4.519999990389455,4.214999990389455,
17.54,4.539999990389454,4.234999990389453,
17.56,4.5599999903894535,4.254999990389453,
17.58,4.579999990389454,4.274999990389453,
17.6,4.599999990389457,4.2949999903894565,
17.62,4.619921990394311,4.314921990394311,
17.64,4.639471990626866,4.334471990626866,
17.66,4.658621992031648,4.3536219920316475,
17.68,4.677371995843657,4.372371995843657,
17.7,4.695722001115718,4.3907220011157175,
17.72,4.71367200767085,4.408672007670849,
17.74,4.731222015512306,4.426222015512305,
17.76,4.748372024643938,4.443372024643938,
17.78,4.765122035070179,4.460122035070178,
17.8,4.781472046796064,4.476472046796063,
17.82,4.7975000595758095,4.492500059575809,
17.84,4.813500072465961,4.50850007246596,
17.86,4.829500085376424,4.524500085376423,
17.88,4.845500098306995,4.540500098306994,
17.9,4.86150011125748,4.5565001112574794,
17.92,4.877500124227686,4.572500124227686,
17.94,4.89350013721741,4.58850013721741,
17.96,4.909500150226472,4.604500150226471,
17.98,4.925500163254671,4.62050016325467,
18.0,4.939750176302599,4.634750176302599,
18.02,4.9175001893878205,4.61250018938782,
18.04,4.893500202498229,4.588500202498229,
18.06,4.86950021563261,4.564500215632609,
18.08,4.845500228791729,4.540500228791728,
18.1,4.821500241975953,4.516500241975953,
18.12,4.797500255185662,4.492500255185662,
18.14,4.773500268421245,4.468500268421244,
18.16,4.749500281683086,4.444500281683085,
18.18,4.725500294971589,4.420500294971588,
18.2,4.70150030828716,4.396500308287159,
18.22,4.677500321630218,4.372500321630217,
18.24,4.653500335001184,4.348500335001184,
18.26,4.629500348400496,4.324500348400496,
18.28,4.605500361828599,4.300500361828599,
18.3,4.581500375285943,4.276500375285942,
18.32,4.557500388772989,4.252500388772988,
18.34,4.533500402290212,4.228500402290211,
18.36,4.5095004158380965,4.204500415838096,
18.38,4.485500429417127,4.180500429417126,
18.4,4.461500443027808,4.156500443027808,
18.42,4.437500456670731,4.13250045667073,
18.44,4.413500470346263,4.108500470346263,
18.46,4.389500484055021,4.08450048405502,
18.48,4.3655004977975524,4.060500497797552,
18.5,4.341500511574416,4.036500511574415,
18.52,4.317500525386187,4.012500525386186,
18.54,4.293500539233448,3.988500539233448,
18.56,4.269500553116801,3.964500553116801,
18.58,4.245500567036858,3.940500567036858,
18.6,4.2215005809942365,3.9165005809942364,
18.62,4.197500594989589,3.892500594989589,
18.64,4.173500609023565,3.8685006090235645,
18.66,4.1495006230968325,3.8445006230968324,
18.68,4.12550063721008,3.82050063721008,
18.7,4.101500651364015,3.7965006513640147,
18.72,4.077500665559349,3.7725006655593485,
18.74,4.053500679796816,3.7485006797968157,
18.76,4.0295006940771705,3.7245006940771703,
18.78,4.005500708401228,3.700500708401228,
18.8,3.981500722769686,3.6765007227696858,
18.82,3.9575007371834046,3.6525007371834044,
18.84,3.9335007516432072,3.628500751643207,
18.86,3.9095007661499417,3.6045007661499415,
18.88,3.885500780704483,3.5805007807044826,
18.9,3.8615007953077156,3.5565007953077155,
18.92,3.837500809960558,3.532500809960558,
18.94,3.813500824663946,3.5085008246639457,
18.96,3.7895008394188427,3.4845008394188426,
18.98,3.7655008542262265,3.4605008542262263,
19.0,3.741500869087113,3.436500869087113,
19.02,3.7175008840025385,3.4125008840025384,
19.04,3.6935008989735594,3.388500898973559,
19.06,3.6695009109915935,3.3645009109915933,
19.08,3.6455009164284506,3.3405009164284505,
19.1,3.621500917989295,3.316500917989295,
19.12,3.597500918492259,3.2925009184922587,
19.14,3.5735009207645594,3.2685009207645592,
19.16,3.5495009276425344,3.2445009276425343,
19.18,3.525500941972432,3.220500941972432,
19.2,3.5015009666103576,3.1965009666103574,
19.22,3.477501004422745,3.172501004422745,
19.24,3.4535010582867116,3.1485010582867115,
19.26,3.429501131090429,3.1245011310904287,
19.28,3.405501225733498,3.1005012257334976,
19.3,3.381501345127364,3.076501345127364,
19.32,3.357501492195736,3.0525014921957356,
19.34,3.333501669875024,3.028501669875024,
19.36,3.3095018811147967,3.0045018811147965,
19.38,3.2855021288782655,2.9805021288782654,
19.4,3.261502416142782,2.956502416142782,
19.42,3.2375027459003625,2.9325027459003623,
19.44,3.213503121158227,2.9085031211582266,
19.46,3.18950354493938,2.88450354493938,
19.48,3.1655040202832363,2.860504020283236,
19.5,3.1415045502460983,2.836504550246098,
19.52,3.117505137902037,2.8125051379020367,
19.54,3.0935057863434254,2.7885057863434253,
19.56,3.0695064986816805,2.7645064986816803,
19.58,3.0455072780480323,2.740507278048032,
19.6,3.021508127594284,2.7165081275942837,
19.62,2.9975757012452875,2.6925757012452873,
19.64,2.974021033938679,2.669021033938679,
19.66,2.9504304414186366,2.6454304414186365,
19.68,2.9265256163192612,2.621525616319261,
19.7,2.9025267093745555,2.5975267093745553,
19.72,2.8785278533618426,2.5735278533618424,
19.74,2.8545290830677468,2.5495290830677466,
19.76,2.8305304017978057,2.5255304017978055,
19.78,2.806531812885655,2.5015318128856547,
19.8,2.782533316775456,2.477533316775456,
19.82,2.75853485179311,2.4535348517931097,
19.84,2.734536392111473,2.4295363921114728,
19.86,2.7105379378713055,2.4055379378713053,
19.88,2.6865394892184478,2.3815394892184476,
19.9,2.6625410463039816,2.3575410463039814,
19.92,2.6385426092844866,2.3335426092844864,
19.94,2.614544178322286,2.3095441783222856,
19.96,2.590545753585729,2.285545753585729,
19.98,2.5665473352494477,2.2615473352494475,
20.0,2.5425489234946714,2.2375489234946713,
20.02,2.5185505185095423,2.213550518509542,
20.04,2.494552120489441,2.189552120489441,
20.06,2.4705537296373343,2.165553729637334,
20.08,2.446555346164159,2.141555346164159,
20.1,2.4225569702892025,2.1175569702892023,
20.12,2.3985586022405405,2.0935586022405404,
20.14,2.3745602422554533,2.069560242255453,
20.16,2.3505618905809587,2.0455618905809585,
20.18,2.3265635474741466,2.0215635474741465,
20.2,2.302565213202951,1.9975652132029507,
20.22,2.2785668880465457,1.9735668880465456,
20.24,2.254568572295989,1.949568572295989,
20.26,2.230570266254868,1.925570266254868,
20.28,2.2065719702399846,1.9015719702399845,
20.3,2.182573684582062,1.8775736845820619,
20.32,2.1585754096265384,1.8535754096265384,
20.34,2.134577145734379,1.829577145734379,
20.36,2.11057889328297,1.8055788932829702,
20.38,2.086580652667067,1.7815806526670672,
20.4,2.062582424299783,1.7575824242997828,
20.42,2.038584208613693,1.7335842086136932,
20.44,2.0145860060619847,1.7095860060619847,
20.46,1.9905878171196902,1.6855878171196903,
20.48,1.966589642285074,1.661589642285074,
20.5,1.9425914820808985,1.6375914820808986,
20.52,1.918593337056213,1.613593337056213,
20.54,1.8945952077878363,1.5895952077878364,
20.56,1.870597094882181,1.5655970948821811,
20.58,1.846598998977198,1.541598998977198,
20.6,1.8226009207444178,1.5176009207444179,
20.62,1.798602860891232,1.493602860891232,
20.64,1.7746048201632827,1.4696048201632828,
20.66,1.7506067993470946,1.4456067993470947,
20.68,1.7266087992729269,1.421608799272927,
20.7,1.7026108208178434,1.3976108208178435,
20.72,1.678612864909072,1.373612864909072,
20.74,1.6546149325276185,1.3496149325276185,
20.76,1.630617024712237,1.325617024712237,
20.78,1.6066191425637983,1.3016191425637984,
20.8,1.5826212872498076,1.2776212872498076,
20.82,1.5586234600098066,1.2536234600098066,
20.84,1.534625662160825,1.229625662160825,
20.86,1.510627895103572,1.2056278951035722,
20.88,1.4866301603292085,1.1816301603292085,1
20.9,1.462632459426753,1.157632459426753,1
20.92,1.4386347940912378,1.133634794091238,1
20.94,1.4146371661327273,1.1096371661327273,1
20.96,1.3906395774862097,1.0856395774862098,1
20.98,1.3666420302225906,1.0616420302225906,1
21.0,1.3426445265608131,1.0376445265608132,1
21.02,1.318647068881361,1.013647068881361,1
21.04,1.2946496597412007,0.9896496597412008,1
21.06,1.2706523018904534,0.9656523018904535,1
21.08,1.2466549982910204,0.9416549982910205,1
21.1,1.2226577521372288,0.9176577521372289,1
21.12,1.1986605668793129,0.893660566879313,1
21.14,1.1746634462493994,0.8696634462493995,1
21.16,1.1506663942909316,0.8456663942909317,1
21.18,1.12666941539183,0.82166941539183,1
21.2,1.102672514321973,0.7976725143219732,1
21.22,1.0786756962756758,0.7736756962756759,1
21.24,1.0546789669199734,0.7496789669199735,1
21.26,1.0306823324496486,0.7256823324496486,1
21.28,1.0066857996501253,0.7016857996501253,1
21.3,0.9826893759695761,0.6776893759695761,1
21.32,0.9586930696018656,0.6536930696018657,1
21.34,0.9346968895822426,0.6296968895822426,1
21.36,0.9107008458981943,0.6057008458981943,1
21.38,0.8867049496183099,0.58170494961831,1
21.4,0.8627092130424724,0.5577092130424723,1
21.42,0.8387136498782015,0.5337136498782016,1
21.44,0.8147182754477544,0.5097182754477545,1
21.46,0.7907231069331504,0.48572310693315046,1
21.48,0.7667281636671259,0.461728163667126,1
21.5,0.742733467480501,0.4377334674805009,1
21.52,0.7187390431190951,0.41373904311909504,1
21.54,0.6947449187470165,0.3897449187470165,1
21.56,0.6707511265579342,0.36575112655793424,1
21.58,0.6467577035224069,0.3417577035224069,1
21.6,0.6227646923078676,0.3177646923078676,1
21.62,0.5987721424197661,0.29377214241976607,1
21.64,0.574780111628349,0.269780111628349,1
21.66,0.5507886677682932,0.24578866776829317,1
21.68,0.5267978910296626,0.22179789102966257,1
21.7,0.5028078769048168,0.19780787690481677,1
21.72,0.47881874002032787,0.17381874002032788,1
21.74,0.45483061918111717,0.14983061918111718,1
21.76,0.4308436840985337,0.1258436840985337,1
21.78,0.40685814449684987,0.10185814449684986,1
21.8,0.3828742626400206,0.0778742626400206,1
21.82,0.35889237087705894,0.053892370877058934,1
21.84,0.33491289671834484,0.029912896718344836,1
21.86,0.31093639950267515,0.0059363995026751465,1
21.88,0.2869636254231553,-0.01803637457684472,1
21.9,0.2629955926041627,-0.04200440739583729,1
21.92,0.23903372727572475,-0.06596627272427526,1
21.94,0.2150800907902652,-0.08991990920973482,1
21.96,0.19113777692087247,-0.11386222307912754,1
21.98,0.16725584504662572,-0.13774415495337428,1
22.0,0.143795212173227,-0.161204787826773,1
22.02,0.12037122399269558,-0.18462877600730443,1
22.04,0.09687630320006109,-0.20812369679993892,1
22.06,0.07322145240339867,-0.23177854759660133,1
22.08,0.049864862206720956,-0.25513513779327907,1
22.1,0.027631675783881055,-0.27736832421611896,1
22.12,0.01387069440419277,-0.29112930559580724,1
22.14,0.027805834869353445,-0.27719416513064654,1
22.16,0.05005810998436821,-0.2549418900156318,1
22.18,0.07341897527567653,-0.23158102472432346,1
